band_id,name,slug,source,source_id,country,subtitle,biography_html,image_url,thumbnail_url,youtube_url,spotify_artist_id,spotify_album_id,homepage_url,facebook_url,instagram_url,first_time
lagwagon,Lagwagon,lagwagon,wacken-json,1187,United States,,"<p>Among all the dark, grim faces out there, sometimes you need a splash of color and joy. Enter Lagwagon — where the pit stays friendly, the faces are smiling, and the sun shines bright. No surprise, given the infectious Punk Rock energy of these Californians. They’ve been spreading good vibes since the early ’90s — that’s experience you can trust. And for anyone who thinks that’s too cheerful, remember: where there’s no light, there’s no shadow!</p>",https://www.wacken.com/fileadmin/user_upload/bandimages/bands2026/lagwagon26.jpg,https://www.wacken.com/fileadmin/_processed_/a/e/csm_lagwagon26_9b4cccaa2b.jpg,https://www.youtube.com/watch?v=mdMr3AMEdXU,66riGCPfih1Xqk81dDvpvf,,https://www.lagwagon.com/,https://www.facebook.com/lagwagon/,https://www.instagram.com/lagwagon1989/,false
lamb-of,Lamb of God,lamb-of,wacken-json,1159,United States,,"<p>Es gibt Bands, bei denen reicht die bloße Nennung des Namens, um ganze Heerscharen von Metalheads in erwartungsvolle Ekstase zu versetzen.<br />Lamb of God sind ohne Zweifel eine solche Band. Die US-Amerikaner um Frontman Randy Blythe haben sich ihren Platz an der Sonne hart erarbeitet. Nimmer müde hat die Band seit Beginn der 1990er Jahre getourt und Album nach Album, Hit nach Hit unters hungrige Metal-Volk gebracht.&nbsp;<br />35 Jahre später steht ihnen der Platz an der Sonne mehr als zu. Und für den Fall, dass es hier jemand immer noch nicht verstanden hat: Lamb of God kommen 2026 nach Wacken!</p>",https://www.wacken.com/fileadmin/user_upload/bandimages/bands2026/lamb_of_god_26b.jpg,https://www.wacken.com/fileadmin/_processed_/7/4/csm_lamb_of_god_26b_d0cd004159.jpg,https://www.youtube.com/user/lambofgod,3JFsVIxOn7STeilPICkkB2,,https://www.lamb-of-god.com/,https://www.facebook.com/lambofgod/,https://www.instagram.com/lambofgod/,false
life-of-agony,Life of Agony,life-of-agony,wacken-json,13,United States,,"<p>Aller lautstarken Dinge sind drei: Nach den beeindruckenden W:O:A-Shows in 2019 und 2022 heißen wir die New Yorker Metallschmiede LIFE OF AGONY zum dritten Mal herzlich willkommen. Keith Caputo und seine Mitstreiter blickten erst dieses Jahr während der UGLY-Tour auf ihre langjährige Karriere zurück, veröffentlichten mit „The Crow“ aber auch einen neuen Song. Wer weiß, vielleicht bekommen wir bis zum Auftritt in Wacken noch mehr frischgebackene Musik zu hören?! Fest steht jedenfalls, dass Highlights wie „River Runs Red“ oder „Weeds“ den Acker beim Festivaljubiläum zum Beben bringen werden.</p>",https://www.wacken.com/fileadmin/user_upload/bandimages/bands2026/life_of_agony26.jpg,https://www.wacken.com/fileadmin/_processed_/9/4/csm_life_of_agony26_68ef27b061.jpg,https://www.youtube.com/watch?v=UaCijH0USo8,4gyzQpfG5YQZJt2jj0IkEl,,https://www.lifeofagony.com/,https://www.facebook.com/lifeofagonyfamiglia,https://www.instagram.com/lifeofagonyofficial/,false
lovebites,Lovebites,lovebites,wacken-json,1208,Japan,,"<p>Tokio, 2016 – Wacken 2026. Dazwischen: Zehn Jahre Power Metal ohne Angst vor Grenzen und Vorurteilen und eine legendäre Wacken Open Air Show 2018. Jetzt kommen Lovebites, pünktlich zum 10-jährigen Bandjubiläum wieder nach Norddeutschland. Im Gepäck: epische Melodien, eine große Show und jede Menge Metal, irgendwo zwischen Iron Maiden und Helloween. Außerdem dabei: Ihr neues Album Outstanding Power – eine Nachricht auch an uns. Lovebites – wir sind bereit!</p>",https://www.wacken.com/fileadmin/user_upload/bandimages/bands2026/lovebites_26b.jpg,https://www.wacken.com/fileadmin/_processed_/8/d/csm_lovebites_26b_38ca926080.jpg,https://www.youtube.com/watch?v=vOwJCPGqlz0,4H1S8RTYv4vN3SiM5uSZSa,,https://lovebites.jp/band/,https://www.facebook.com/LovebitesTheBand/,https://www.instagram.com/lovebites_jp,false
luna-kills,Luna Kills,luna-kills,wacken-json,1140,Finland,,"<p>Finnland zu bitten ikonische und innovative Metalbands hervorzubringen ist genauso Zeitverschwendung, wie Michael Jordan zu bitten, Basketball Titel zu gewinnen. Es liegt in der Natur dieses Landes unser geliebtes Genre mit ikonischen Bands zu fluten. Mit Luna Kills steht einmal mehr eine solche in den Startlöchern. In ungeahnter Leichtigkeit verbindet das Quartett Nu-Metal mit elektronischen Elementen. Im sechsten Jahr des Band-Bestehens machen sich die Finnen nun also auf, den Holy Ground heimzusuchen. Wir können es kaum erwarten.</p>",https://www.wacken.com/fileadmin/user_upload/Luna_Kills-WOA26.jpg,https://www.wacken.com/fileadmin/_processed_/3/3/csm_Luna_Kills-WOA26_9c2715ab09.jpg,https://www.youtube.com/channel/UCDA4OW99nx7vi8JpSMRz1AA,5OMIs8tNddcCXVDMN8LLyQ,,https://lunakills.com/,https://www.facebook.com/lunakillsband/,https://www.instagram.com/lunakillsband/?hl=fi,true
mambo-kurt,Mambo Kurt,mambo-kurt,wacken-json,203,Germany,,"<p>Selten haben zwei Worte so sehr zusammengehört wie Mambo und Kurt. Uns fällt da persönlich nur ein weiteres Paar ein: Orgel und Gott. Und was für ein Zufall scheinen sie beide zu dieser Persönlichkeit zu gehören, die mit ganz viel Humor, technischer Raffinesse und einer Heimorgel regelmäßig die Meute auf dem Acker zum Kochen bringt. Egal ob Klassiker wie Van Halens Jump oder Eigenkompositionen, wie das unterbliche Wacken, der Orgelgott gehört zu Wacken, wie das wechselhafte Wetter.</p>",https://www.wacken.com/fileadmin/user_upload/bandimages/bands2025/mambo_kurt_25.jpg,https://www.wacken.com/fileadmin/_processed_/f/4/csm_mambo_kurt_25_d25410db45.jpg,https://www.youtube.com/watch?v=G8ioTszy9D8,29t2xhTM0SRjm8iTNVMynh,,https://www.mambokurt.de/,https://www.facebook.com/orgelgott/,https://www.instagram.com/orgelgott/,false
manntra,Manntra,manntra,wacken-json,448,Croatia,,<p>Aller guten Dinge sind drei: 2026 rocken MANNTRA zum dritten Mal das W:O:A und präsentieren uns ihre neuesten Songs vom Album „Titans“. Das kroatische Folk&nbsp;Metal-Quintett weiß ganz genau wie es altertümlichen Themen einen modernen Anstrich verpasst und rohen Industrial Metal mit verspielten Folk-Elementen ergänzt. MANNTRA passen 100% zu unserem Motto „Party on“ und genau das wollen wir mit euch feiern: Ölt eure Stimmbänder und streckt die Fäuste in die Luft wenn „Ori Ori“ und weitere Highlights erklingen.</p>,https://www.wacken.com/fileadmin/user_upload/bandimages/bands2026/manntra_26.jpg,https://www.wacken.com/fileadmin/_processed_/1/3/csm_manntra_26_a22fae1fff.jpg,https://www.youtube.com/ManntraTV,5xKw7nNLyZ7UVvhaLC5kYd,,https://manntra.hr,https://www.facebook.com/ManntraOfficial,https://www.instagram.com/manntra_official,false
mantar,Mantar,mantar,wacken-json,425,Germany,,"<p>Im Bereich des Extremen sind Mantar weder Unbekannte noch Exoten. Die Band steht für höchste Qualität und hat sich einen Ruf als exzellente Live-Band erarbeitet. Die Bremer, die 2012 aus den Stahlbecken der Hansestadt entstiegen sind,&nbsp; haben sich von allem gelöst, was nicht essenziell für ihre Musik ist. Genauso kompromisslos wie dies erscheinen mag, klingt auch ihre Musik – ohne Schnörkel. Direkt, brutal und immer dahin, wo es weh tut. Nach eigener Aussage lediglich mit dem einen Ziel: Einfach kloppen! Und mit diesem Bewerbungsschreiben im Gepäck sagen wir Moin! beim W:O:A 2026.</p>",https://www.wacken.com/fileadmin/user_upload/Mantar-WOA26.jpg,https://www.wacken.com/fileadmin/_processed_/0/1/csm_Mantar-WOA26_41ea1e294a.jpg,https://www.youtube.com/channel/UClrxUayXC8nlv6TYLCK1MBQ,6rVRU7I6r1lt6bhXGYTRQL,,https://www.mantarband.com/,https://www.facebook.com/MantarBand/photos,https://www.instagram.com/mantarband,false
maschines-late-night-show,Maschine's Late Night Show,maschines-late-night-show,wacken-json,230,Germany,,"<p>35 Male Wacken Open Air. Kaum zu glauben, dass es einmal eine Zeit gab, in der Maschines Late Night Show nicht die Welcome To The Jungle Stage zu später Stunde mit Glanz, Konfetti und jeder Menge Glamour belebt hat. Unser Talkmaster mit der Föhnfrisur bekommt sie alle – denn auch die Stars der harten Unterhaltung wollen irgendwann mal in seiner Show und auf seinem Sofa zu Gast sein. Dass er bei euch sowieso ein Stein im Brett hat, wissen wir, denn wer liebt euch und wen liebt ihr? Maschine!</p>",https://www.wacken.com/fileadmin/user_upload/bandimages/bands2019/maschine_2019.jpg,https://www.wacken.com/fileadmin/_processed_/1/9/csm_maschine_2019_8c7405dcc6.jpg,,,,https://www.mlns.beer,https://www.facebook.com/MaschinesLateNight/,https://www.instagram.com/maschines_late_night_show/,false
metaklapa,Metaklapa,metaklapa,wacken-json,489,Croatia,,"<p>Sechs Sänger, sechs Stimmen, eine Leidenschaft – Metal! Kroatien schickt uns ein weiteres Mal ihre ganz eigene Heavy Metal Acapella Band auf den Holy Ground.</p> <p>Zwischen Fear of&nbsp;the&nbsp;dark, Wasted Years und anderen Maiden Klassikern steht eine Gruppe Männer, die unseren geliebten Metal in einem ganz bestimmten Stil darbieten, der sogar auf der UNESCO Weltkulturerbe Liste steht. Lasst uns dieser Band einen Wacken Moshpit zum Empfang gereichen, und sie wieder auf unserem Festival willkommen heißen.</p>",https://www.wacken.com/fileadmin/user_upload/bandimages/bands2024/metaklapa_2024.jpg,https://www.wacken.com/fileadmin/_processed_/8/7/csm_metaklapa_2024_ec19d5fd80.jpg,https://www.youtube.com/watch?v=b5fTNEtpKNA,2SfUXfS3jFhF3iHkp0Hyqh,,,https://www.facebook.com/metaklapa/,https://www.instagram.com/metaklapa/,false
